sim_id,condition,day,turn,role,action,food_offer,price_offer,unit_price,conflict_score,buyer_money,buyer_food,seller_money,seller_food,llm_raw_output
1,A_Baseline,1,1,買い手,propose,1000,400000,400.0,0.0,1000000,200,0,1600,"```json
{
  ""estimated_opponent_budget"": 500000,
  ""policy_id"": 1,
  ""proposed_food"": 1000,
  ""proposed_price"": 400000,
  ""action"": ""propose""
}
```"
1,A_Baseline,1,2,売り手,propose,500,600000,1200.0,0.0,1000000,200,0,1600,"```json
{
  ""estimated_opponent_budget"": 600000,
  ""policy_id"": 3,
  ""proposed_food"": 500,
  ""proposed_price"": 600000,
  ""action"": ""propose""
}
```"
1,A_Baseline,1,3,買い手,propose,500,400000,800.0,0.6931471805599453,1000000,200,0,1600,"```json
{
  ""estimated_opponent_budget"": 500000,
  ""policy_id"": 3,
  ""proposed_food"": 500,
  ""proposed_price"": 400000,
  ""action"": ""propose""
}
```"
1,A_Baseline,1,4,売り手,propose,250,250000,1000.0,0.1823215567939546,1000000,200,0,1600,"{ ""action"": ""propose"", ""proposed_food"": 250, ""proposed_price"": 250000, ""policy_id"": 1 }"
1,A_Baseline,1,5,買い手,accept,250,250000,,0.0,1000000,200,0,1600,"```json
{
  ""estimated_opponent_budget"": 1000,
  ""policy_id"": 4,
  ""proposed_food"": 250,
  ""proposed_price"": 250000,
  ""action"": ""accept""
}
```"
1,A_Baseline,2,1,買い手,propose,1000,500000,500.0,0.4700036292457356,750000,150,250000,1250,"```json
{
  ""estimated_opponent_budget"": 500000,
  ""policy_id"": 2,
  ""proposed_food"": 1000,
  ""proposed_price"": 500000,
  ""action"": ""propose""
}
```"
1,A_Baseline,2,2,売り手,propose,400,600000,1500.0,0.4054651081081644,750000,150,250000,1250,"```json
{
  ""estimated_opponent_budget"": 600000,
  ""policy_id"": 4,
  ""proposed_food"": 400,
  ""proposed_price"": 600000,
  ""action"": ""propose""
}
```"
1,A_Baseline,2,3,買い手,accept,400,600000,,0.0,750000,150,250000,1250,"```json
{
  ""estimated_opponent_budget"": 600000,
  ""policy_id"": 4,
  ""proposed_food"": 400,
  ""proposed_price"": 600000,
  ""action"": ""accept""
}
```"
1,A_Baseline,3,1,買い手,propose,300,90000,300.0,0.5108256237659907,150000,250,850000,750,"```json
{
  ""estimated_opponent_budget"": 100000,
  ""policy_id"": 2,
  ""proposed_food"": 300,
  ""proposed_price"": 90000,
  ""action"": ""propose""
}
```"
1,A_Baseline,3,2,売り手,propose,150,225000,1500.0,0.0,150000,250,850000,750,"```json
{
  ""estimated_opponent_budget"": 200000,
  ""policy_id"": 1,
  ""proposed_food"": 150,
  ""proposed_price"": 225000,
  ""action"": ""propose""
}
```"
